Año,Categoría,País,Género,Edad,Sexo
2017,Profesional,Si,Drama,28.0,Femenino
2017,Profesional,Si,Drama,33.0,Masculino
2017,Profesional,Si,Suspenso,32.0,Masculino
2017,Profesional,Si,Drama,31.0,Masculino
2017,Profesional,Si,Drama,42.0,Masculino
2017,Profesional,Si,FicciÃ³n,32.0,Masculino
2017,Profesional,Si,Ficción,26.0,Masculino
2017,Profesional,Si,Documental,26.0,Femenino
2017,Profesional,Si,Ficción,34.0,Femenino
2017,Profesional,Si,Drama,26.0,Masculino
2017,Profesional,Si,FicciÃ³n,28.0,Masculino
2017,Profesional,Si,Documental,42.0,Masculino
2017,Profesional,Si,Suspenso,32.0,Masculino
2017,Profesional,Si,Ficción,35.0,Masculino
2017,Profesional,Si,Drama,30.0,Masculino
2017,Profesional,Si,Suspenso,25.0,Masculino
2017,Profesional,Si,Documental,29.0,Femenino
2017,Profesional,Si,Ficción,29.0,Masculino
2017,Profesional,Si,Suspenso,33.0,Masculino
2017,Profesional,Si,Suspenso,38.0,Masculino
2017,Profesional,Si,Drama,26.0,Masculino
2017,Profesional,Si,Drama,30.0,Masculino
2017,Profesional,Si,Comedia,22.0,Femenino
2017,Profesional,Si,Documental,23.0,Masculino
2017,Profesional,Si,Comedia,30.0,Masculino
2017,Profesional,Si,Drama,23.0,Masculino
2017,Profesional,Si,Ficción,30.0,Masculino
2017,Profesional,Si,Suspenso,28.0,Masculino
2017,Profesional,Si,Ficción,41.0,Masculino
2017,Profesional,Si,Ficción,21.0,Femenino
2017,Profesional,Si,Documental,39.0,Masculino
2017,Profesional,No,Drama,37.0,Femenino
2017,Profesional,No,Terror,42.0,Masculino
2017,Profesional,Si,Drama,27.0,Masculino
2017,Profesional,Si,Suspenso,22.0,Femenino
2017,Profesional,Si,Terror,26.0,Masculino
2017,Profesional,Si,Documental,48.0,Masculino
2017,Profesional,Si,Documental,35.0,Femenino
2017,Profesional,Si,Drama,29.0,Femenino
2017,Profesional,Si,AcciÃ³n,24.0,Masculino
2017,Profesional,Si,Drama,37.0,Masculino
2017,Profesional,Si,Suspenso,33.0,Masculino
2017,Profesional,Si,Suspenso,40.0,Masculino
2017,Profesional,Si,Suspenso,36.0,Masculino
2017,Profesional,No,Ficción,42.0,Masculino
2017,Profesional,Si,Ficción,23.0,Femenino
2017,Profesional,Si,Drama,18.0,Masculino
2017,Profesional,Si,Ficción,33.0,Masculino
2017,Profesional,Si,Ficción,26.0,Masculino
2017,Profesional,Si,Drama,35.0,Masculino
2017,Profesional,Si,Drama,31.0,Femenino
2017,Profesional,Si,Ficción,27.0,Femenino
2017,Profesional,Si,Ficción,40.0,Masculino
2017,Profesional,Si,Acción,37.0,Masculino
2017,Profesional,Si,Drama,31.0,Masculino
2017,Profesional,Si,FicciÃ³n,37.0,Femenino
2017,Profesional,Si,Drama,30.0,Masculino
2017,Profesional,Si,Suspenso,34.0,Masculino
2017,Profesional,Si,Ficción,31.0,Masculino
2017,Profesional,Si,Comedia romántica,30.0,Masculino
